GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-app,com.mycompany.app,App2,3,6,0,2,1,1,1,2,1,1
my-app,com.mycompany.app,App,3,8,0,2,1,1,1,2,1,1
